Company name,Company Twitter,Nb. of Employees,What do they do (Verbatim - 10 words max.)   ,Link to website,HQ City,HQ Country,CEO name,CEO's Twitter,Link to jobpage,employees_amount_id
Moz,moz,51-200,SEO Tools,https://moz.com/,"Seattle, WA",USA,Sarah Bird,sarahbird,https://moz.com/about/jobs,3.0
Mozilla,mozilla,501-1000,Fights to keep the Internet a global public resource open and accessible to all.,https://www.mozilla.org,"Mountain View, CA",USA,Chris Beard,cbeard,https://careers.mozilla.org/en-US/,5.0
Much Better Adventures,muchbetteradven,1-10,Award-winning adventures with the best local guides and hosts around the world.,https://muchbetteradventures.workable.com/,London,UK,,alexnarra,https://www.muchbetteradventures.com,1.0
Myagi,myagiapp,11-50,The choo-choo train for retail's Knowledge Supply Chain,https://myagi.com/,"San Francisco, CA",USA,Alex Mcleod,,,2.0
MyOnlineSchool,myonlineschool,1-10," Learning with the experts. Providing certified online courses, taught by bestselling authors.",https://www.my-online-school.co.uk/,,USA,Elspeth Briscoe,elspeth,,1.0
mySociety,mysociety,11-50,Websites that help citizens demand better,https://www.mysociety.org/,,England,Mark Cridge,markcridge,https://www.mysociety.org/about/careers/,2.0
MySQL,mysql,201-500,"The software's official homepage with news, downloads and documentation.",https://www.mysql.com/,"Cupertino, CA",USA,Marten Mickos,martenmickos,https://www.mysql.fr/about/jobs/,4.0
NationBuilder,nationbuilder,11-50,Software for leaders,https://nationbuilder.com/job_list,"Los Angeles, CA",USA,Lea Endres,,https://nationbuilder.com,2.0
nClouds,n_clouds,11-50,nClouds is a leading service provider for dev ops,https://www.nclouds.com/,"San Jose, CA",USA,Jt Giri,,https://www.nclouds.com/careers,2.0
Nearform,nearform,51-200,Node.js software consulting,https://www.nearform.com/,,Ireland,Cian Ó Maidín,cianomaidin,https://www.nearform.com/careers/,3.0
Nebulab,nebulab_it,11-50,"Nebulab is specialized in Ruby on Rails, UX Design, and Solidus eCommerce",https://nebulab.it/,Pescara,Italy,Alberto Vena,albertovena,,2.0
Netguru,netguru,51-200,Web and mobile development shop,https://www.netguru.co/,Poznan,Poland,Wiktor Schmidt,wiktorschmidt,https://www.netguru.co/career/meet-us,3.0
Netlify,netlify,11-50,Automates code; creating highly-performant sites and web-apps.,https://www.netlify.com/,"San Francisco, CA",USA,Matt Biilmann,,,2.0
Netsparker,netsparker,11-50,Web Application Security Scanner.,https://www.netsparker.com/jobs/,London,UK,Ferruh Mavituna,fmavituna,https://www.netsparker.com/,2.0
Network Ninja,networkninja,11-50,Customizable Management Software,https://networkninja.com/,"Chicago, IL",USA,Matthew Bochneak,mattbochneak,https://networkninja.com/jobs/,2.0
New Context,newcontext,11-50,New Context specialize in Lean Security,https://www.newcontext.com/,"San Francisco, CA ",USA,Daniel Riedel,riedelinc,https://www.newcontext.com/careers/,2.0
NEX,,1-10,We make it easy to trade and manage digital assets,https://www.nexopportunities.com/about,London,UK,Steve Gibson,,,1.0
Next Big Sound,nextbigsound,11-50,Analytics and Insights for the Music Industry.,https://www.nextbigsound.com/,"New York, NY ",USA,Alexander S. White,mralexwhite,https://pandora.com/careers/product-technology,2.0
NIFTIT,niftit,11-50,We build all things digital.,https://niftit.com/,"New York, NY",USA,Khoa Quach,niftykhoa,https://niftit.recruiterbox.com/,2.0
NinjaCat,ninjacatppc,1-10,All-in-one reporting solution for leading digital marketing agencies,https://www.ninjacat.io/,"New York, NY",USA,Paul Deraval,,,1.0
Niteoweb,niteoweb,1-10,Employing tech enthusiasts from all over the world who love to build cool stuff.,https://www.niteoweb.com/careers,Ljubljana,Slovenia,Necj Zupan,nzupan,https://www.niteoweb.com/careers,1.0
NodePing,nodeping,1-10,Server monitoring service,https://nodeping.com/,AZ,USA,Shawn Parrish,shawnpar,,1.0
NodeSource,nodesource,11-50,"Node.js Support, Training and Consulting for the Enterprise, Worldwide.",https://nodesource.com,,USA,Joe Mccann,joemccann,https://angel list,2.0
NodeSWAT,nodeswat,1-10,Our software takes your business to a new level. ,https://www.nodeswat.com/,Tallinn,Estonia,Rait Ojasaar,raitens,https://angel list,1.0
Noiiz,noiizinc,1-10,Better touch experience for your content,https://www.noiiz.com/,Freiburg,Switzerland,Dennis Willener,,,1.0
Nomics,nomicsfinance,1-10,cryptocurrency & bitcoin (market data) API ,https://nomics.com/,"Minneapolis, MN",USA,Clay Collins,claycollins,,1.0
NoRedInk,noredink,11-50,Online grammar software,https://www.noredink.com/,"San Francisco, CA",USA,Jeff Scheur,jscheur,https://www.noredink.com/jobs,2.0
Notepad Studio,notepadstudio,1-10,Brand agency based largely in Birmingham with a satellite office in London,https://notepadstudio.com,London,UK,Naeem Alvi,,,1.0
Novoda,novoda,51-200,Novoda specialise in developing high quality Android & iOS platform software,https://www.novoda.com/,London,UK,Kevin (Bryden) Mcdonagh,kevinmcdonagh,https://www.novoda.com/hiring,3.0
NovuHealth,novuhealth,11-50,Consumer health engagement company,https://www.novu.com/,"Minneapolis, MN",USA,Jim Wicka,,,2.0
Nugg,getnugg,11-50,On Demand Cannabis Marketplace,https://www.getnugg.com/,"Los Angeles, CA",USA,Kam Babazade,,https://www.getnugg.com,2.0
Numbrs,numbrs,51-200,customer-centric financial services company,https://www.centralway.com/uk/careers/open-positions,Zurich,Switzerland,Oyvind Oanes,oyvindoanes,https://www.centralway.com/uk/careers/open-positions,3.0
nVisium,invisium,11-50,Application security services and products,https://nvisium.com/,"Herndon, VA",USA,Jack Mannino,jack_mannino,https://nvisium.com/careers/,2.0
NymCard,nymcard,201-500,Mobile payment experience,https://www.nymcard.com/,Beirut,Lebanon,Omar Onsi,,,4.0
O'Reilly Media,oreillymedia,201-500,Publishes and shares information and knowledge on computer tech topics.,https://www.oreilly.com/,"Sebastopol, CA",USA,Tim O'Reilly,timoreilly,https://www.oreilly.com/jobs/,4.0
Octopus Deploy,octopusdeploy,11-50,most popular deployment automation server in the world,https://octopus.com/company,"Birsbane, QLD",Australia,Paul Stovell,paulstovell,https://octopus.com/company,2.0
Oddball,oddballio,1-10,high-end boutique dev shop,https://oddball.io/,"Los Angeles, CA",USA,Travis Sorensen,,,1.0
Oh My George,ohmygeorgeapp,1-10,a CandyCrush-style financial trading platform,https://www.ohmygeorge.com,Bangkok,Thailand,Lucien Tavano,,,1.0
OK GROW!,ok_grow,11-50,Web and mobile app development in Toronto,https://www.okgrow.com/,Toronto,Canada,Paul Dowman,pauldowman,https://www.okgrow.com/join-us,2.0
Olark,olark,11-50,Over 10000 companies rely on Olark live chat to answer customers,https://www.olark.com,"San Francisco, CA",USA,Ben Congleton,jaminben,https://www.olark.com/jobs,2.0
Olo,olo,51-200,Online Ordering for Restaurants,https://www.olo.com/,"New York, NY",USA,Noah Glass,nhglass,https://www.olo.com/company/#careers,3.0
OmniAccess,omniaccess,11-50,World-leading enterprise in high-end VSAT airtime services,https://www.omniaccess.com/,Palma de Mallorca,Spain,Bertrand Hartman,,,2.0
OneSky,oneskyapp,11-50,Full-stack Localization Solution,https://www.oneskyapp.com/,Hong Kong,HK,Greg Sung,,,2.0
OnTheGoSystems,onthego_systems,51-200,We are the makers of WPML the famous WordPress Multilingual plugin,https://www.onthegosystems.com/,Hong Kong,HK,Eyal Kaufman,eyalkaufman,https://www.onthegosystems.com/jobs/,3.0
Onyo,,1-10,"Brazilian first national food pickup marketplace, focusing on food courts.",https://www.site.onyo.com/,,Brazil,Alexandre Dinkelman,,,1.0
Open Knowledge,okfn,11-50,Projects around opening up data and knowledge ,https://okfn.org/,,,Pavel Richter,pavel,https://okfn.org/about/jobs/,2.0
OpenCraft,opencraft,11-50,OpenCraft sets up an instance to allow you to host your MOOC on your own terms. ,https://opencraft.com,Giza,USA,Xavier Antoviaque,antoviaque,,2.0
openredis,openredis,1-10,Dependable Redis Hosting,https://openredis.com/,"Los Angeles, CA",USA,Cyril David,cyx,,1.0
Optimal,optimaldm,1-10,internet marketing company based in the midwest,https://optimal-digital-marketing.workable.com/,"Appleton, WI",USA,,,https://optimal.marketing/,1.0
Optimile NV,optimileeu,1-10,software house that creates Mobility as a Service,https://www.optimile.eu/about-us,Ghent,Belgium,,,https://www.optimile.eu/jobs,1.0
Origin Eight,origineight,11-50,Origin Eight is dedicated to the artful integration of usable design & technology,https://origineight.net/,"Minneapolis, MN",USA,Seth Viebrock,sethviebrock,https://origineight.recruiterbox.com/,2.0
Outbank,outbank,11-50,Mobile banking,https://outbankapp.com/,Dachau,Germany,Tobias Stöger,tstoegi,https://outbankapp.com/jobs/,2.0
OutMatch,outmatchhcm,11-50,Talent Selection People Development,https://outmatch.com/,"Dallas, TX",USA,Greg Moran,,,2.0
